state,session.year_start,bill_number,description,status,url,Type, , , , , , , , , , , , , , , , , , 
AK,2017,HB1628,To Create The Healthcare Freedom Of Conscience Act.,Dead,https://legiscan.com/AR/bill/HB1628/2017,Healthcare,,,,,,,,,,,,,,,,,,
AK,2019,SB352,To Amend The Law Concerning Private Child Welfare Agencies.,Intro,https://legiscan.com/AR/bill/SB352/2019,Adoption Bill,,,,,,,,,,,,,,,,,,
AK,2015,HB325,"An Act relating to the free exercise of religion; relating to professional and occupational licensing; and relating to appointment to public office or a position on a board, commission, or committee.",Intro,https://legiscan.com/AK/bill/HB325/2015,Healthcare,,,,,,,,,,,,,,,,,,
AL,2015,SB261,"Child Care Provider Inclusion Act, established, state prohibited from discriminating against child care service providers under certain conditions, civil remedies, provided for",Dead,https://legiscan.com/AL/bill/SB261/2015,Adoption Bill,,,,,,,,,,,,,,,,,,
AL,2016,SB145,"Child Placing Agency Inclusion Act, state prohibited from discriminating against child care service providers based on religious beliefs, civil remedies",Dead,https://legiscan.com/AL/bill/SB145/2017,Adoption Bill,,,,,,,,,,,,,,,,,,
AL,2015,HB56,"Marriages, persons authorized to solemnize marriage not required to perform solemnize marriage, Freedom of Religion in Marriage Protection Act, Sec. 30-1-7 am'd.",Dead,https://legiscan.com/AL/bill/HB56/2015,Marriage,,,,,,,,,,,,,,,,,,
AL,2015,HB296,"Child Care Provider Inclusion Act, established, state prohibited from discriminating against child care service providers under certain conditions, civil remedies, provided for",Intro,https://legiscan.com/AL/bill/HB296/2015,Adoption Bill,,,,,,,,,,,,,,,,,,
AL,2016,HB158,"Child Care Provider Inclusion Act, established, state prohibited from discriminating against child care service providers under certain conditions, civil remedies, provided for",Intro,https://legiscan.com/AL/bill/HB158/2016,Adoption Bill,,,,,,,,,,,,,,,,,,
AL,2016,SB204,"Child Care Provider Inclusion Act, established, state prohibited from discriminating against child care service providers under certain conditions, civil remedies, provided for",Intro,https://legiscan.com/AL/bill/SB204/2016,Adoption Bill,,,,,,,,,,,,,,,,,,
AL,2017,SB145,"Child Placing Agency Inclusion Act, state prohibited from discriminating against child care service providers based on religious beliefs, civil remedies",Intro,https://legiscan.com/AL/bill/SB145/2017,Adoption Bill,,,,,,,,,,,,,,,,,,
AL,2012,HB133,"Education, local boards of education authorized to provide for released time religious instruction in public high schools as an elective course for credit",Intro,https://legiscan.com/AL/bill/HB133/2012,Bible Literacy Act,,,,,,,,,,,,,,,,,,
AL,2018,HB511,"Education, public schools, grades 6 to 12, allow elective courses on the study of the Bible, provide immunity for teachers who teach in good faith with proper historical context, State Board of Education to implement rules and policies",Intro,https://legiscan.com/AL/bill/HB511/2018,Bible Literacy Act,,,,,,,,,,,,,,,,,,
AL,2018,SB391,"Education, public schools, grades 6 to 12, allow elective courses on the study of the Bible and display artifacts, monuments, symbols, and text related to the study of the Bible, State Board of Education to implement rules and policies",Intro,https://legiscan.com/AL/bill/SB391/2018,Bible Literacy Act,,,,,,,,,,,,,,,,,,
AL,2019,SB14,"Education, public schools, grades 6 to 12, allow elective courses on the study of the Bible and display artifacts, monuments, symbols, and text related to the study of the Bible, State Board of Education to implement rules and policies",Intro,https://legiscan.com/AL/bill/SB14/2019,Bible Literacy Act,,,,,,,,,,,,,,,,,,
AL,2013,HB588,"Religious expression in schools, authorized, Alabama Student Religious Liberties Act",Intro,https://legiscan.com/AL/bill/HB588/2013,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
